Account ID,DB Balance,CSV Balance
0d4f671c-552b-449a-815b-0864f2daf28f,"{""BHD"":500}","{""AED"":""0"",""BHD"":""1500"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
"MZN"":""0"",""NGN"":""0""}"
ee4f37dd-d402-43a9-9d15-8a3644fe969a,"{""AED"":10000,""BHD"":196884}","{""AED"":""10000"",""BHD"":""19896884"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
c2d19dc6-f678-4d10-a5e6-c0dace3f617f,"{""AED"":100}","{""AED"":""1000"",""BHD"":""0"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
27cb24cd-b44a-494c-b0a8-b83eed4a7eeb,"{""AED"":9518950,""EUR"":0,""BHD"":9703650,""USD"":0}","{""AED"":""9557750"",""BHD"":""9990650"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
01246372-4cff-4933-889c-c8bf2c2f6ba9,"{""AED"":5000}","{""AED"":""4100"",""BHD"":""0"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
c7745872-9390-4323-9750-131908a7777a,"{""KES"":11000,""AED"":100}","{""AED"":""0"",""BHD"":""0"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""11000"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
7a64119e-69d8-4bdf-bc6b-9419eaa32478,"{""AED"":3455,""BHD"":114996}","{""AED"":""7055"",""BHD"":""114996"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
40a023f8-eff4-40ca-a015-38b76b8369d9,"{""BHD"":107752}","{""AED"":""0"",""BHD"":""108752"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
72960ae2-0db4-4eef-a1cf-7ec98e143c1a,"{""AED"":2290,""PTS"":1000}","{""AED"":""2800"",""BHD"":""0"",""EUR"":""0"",""KZT"":""0"",""SAR"":""0"",""USD"":""0"",""EGP"":""0"",""KWD"":""0"",""PHP"":""0"",""KES"":""0"",""PKR"":""0"",""INR"":""0"",""BDT"":""0"",""NAD"":""0"",""TZS"":""0"",""ETB"":""0"",""UGX"":""0"",""MZN"":""0"",""NGN"":""0""}"
